id,text,label,sa,counter1,conter2,counter3,counter4,counter5
711,"Omg when Sanctuary came on .. #ParadiseFears
",1,1,Omg when Sanctuary start playin' .. #ParadiseFears,Omg when Sanctuary started playin' .. #ParadiseFears,"Aww, when Sanctuary started playin'.. #ParadiseFears",Ayy when Sanctuary started playin'... #ParadiseFears,"Man, when Sanctuary started playin'.. #ParadiseFears"
712,"so for my anger they gave me yoga and Pilates videos to see if it will relax me
",1,1,So for my anger they gave me yoga and Pilates videos to see if it'll chill me out.,so for my anger they gave me yoga and pilates vids to see if it'll chill me out,so for my anger they gave me yoga and Pilates videos to see if it'll chill me out,"So for my anger, they hooked me up with some yoga and Pilates videos to see if it's gonna chill me out.","So for my anger, they handed me yoga and Pilates vids to see if it'll chill me out."
713,"Omg these _TWITTER-ENTITY_ commercials are making me so excited for the new season
",1,1,Omg these _TWITTER-ENTITY_ commercials got me geeked for the new season.,Omg these _TWITTER-ENTITY_ commercials got me hyped for the new season.,"Bruh, these _TWITTER-ENTITY_ commercials got me hyped for the new season!","Man, these _TWITTER-ENTITY_ commercials got me hype for the new season.","Lawd, these _TWITTER-ENTITY_ commercials got me hype for the new season"
714,"If my dad tells me he can't drive me I'll be so tempted to stay home but I can't
",0,1,"If my pops tell me he ain't able to drop me off, I'ma wanna stay at crib, but I can't.","If my pops say he can't roll me out, I'ma be hella tempted to chill at the crib, but I can't.","If my pops say he can't drop me off, I'ma be real tempted to chill at the crib, but I can't.","If my pops say he can't ride me, I'ma be too tempted to chill at home but I can't.","If my pops say he can't drop me, I'ma be so tempted to kick it at the house but I can't."
715,"_TWITTER-ENTITY_ lol yeah sorry for the stalk
",1,1,_TWITTER-ENTITY_ lol yeah my bad for the stalk,_TWITTER-ENTITY_ lol yeah my bad for the stalk,_TWITTER-ENTITY_ lol yeah my bad for the stalk,_TWITTER-ENTITY_ lol yeah my bad for stalkin',_TWITTER-ENTITY_ lol yeah my bad for the stalk.
716,"_TWITTER-ENTITY_ you feelin that subtweet ?
",1,1,"_TWITTER-ENTITY_, you catchin' that subtweet?",_TWITTER-ENTITY_ you catchin' that subtweet?,_TWITTER-ENTITY_ you catchin' that subtweet?,_TWITTER-ENTITY_ you catchin' that subtweet?,_TWITTER-ENTITY_ you catchin' that subtweet?
717,"_TWITTER-ENTITY_ Nobody's hating on you .
",1,0,No one is expressing negative feelings towards you.,No one is expressing hate towards you.,No one is expressing dislike towards you.,_TWITTER-ENTITY_ Nobody is harboring negative feelings towards you.,No one is expressing negativity or ill will towards you.
718,"_TWITTER-ENTITY_ lmaooooo , ready to drown myself in this pool #letsquit
",0,1,"_TWITTER-ENTITY_ lmaooooo, finna throw myself in this pool #letsquit","_TWITTER-ENTITY_ lmaoooo, I'm fitna drown myself in this pool #letscallitquits","_TWITTER-ENTITY_ lmaooooo, finna drown myself in this pool #letsgiveup","_TWITTER-ENTITY_ lmaooooo, finna drown myself in this pool #letsquit","_TWITTER-ENTITY_ lmaooooo, finna throw myself up in this pool! #letsquit"
719,"$10 to whoever wants to clean my room
",1,1,"""10 bucks for anybody who wanna clean up my room""",$10 for whoever wanna clean up my room.,A smooth ten to whoever down to tidy up my room.,$10 to whoever wanna clean my room.,"""$10 to whoever wanna clean up my room"""
720,"_TWITTER-ENTITY_ insta video makes me love him so much more
",1,1,_TWITTER-ENTITY_ insta video got me lov' him even more,_TWITTER-ENTITY_ insta video got me lov'in him even more,_TWITTER-ENTITY_ insta video make me love him even more.,_TWITTER-ENTITY_ insta video got me lovin' him even more.,_TWITTER-ENTITY_ insta video got me lovin' him even more
721,"Eagle fans happy as shit they winning
",0,1,"Eagle fans hype af they winnin'
",Eagle fans hype as hell they winnin',Eagles fans hype as hell they winnin',Eagle fans hype as hell they winnin',Eagle fans hype as hell they winnin'
722,"I can't wait to be on a bus at 7:10 ... Seeya later spring break
",0,1,Can't wait to be on a bus at 7:10 ... Catch y'all after spring break.,Can't wait to be on a bus 'round 7:10... Catch you on the flip side spring break.,"Can't wait to be up on a bus at 7:10 ... Later, spring break",Can't wait to be on a bus at 7:10 ... Catch y'all after spring break.,"Can't wait to be on a bus at 7:10 ... Catch y'all later, spring break."
723,"These past 5 days being home felt like the best days of my life ... Now I'm one more stop to being back in hilo
",1,1,"These past 5 days at the crib been feelin' like the best days I ever had ... Now I'm just a hop, skip and jump from being back in Hilo.",These past 5 days at the crib been feelin' like the best days of my life ... Now I'm one more move from bein' back in Hilo.,These past 5 days at home been feelin' like the best days of my life... Now I'm just one stop away from being back in Hilo.,These past 5 days at home been feelin' like the best days of my life... Now I'm just one more stop 'til I'm back in Hilo.,These past 5 days chillin' at home felt like the dopest days of my life ... Now I'm just one more hop to getting back in Hilo.
724,"i want to dress up and look good today but i have dance
",0,1,I wanna get fly and look good today but I got dance.,Wanna get all dolled up and look fly today but I got dance.,Wanna look fly today but got dance.,I wanna get fly and look fresh today but I got dance.,Wanna look fly today but gotta hit the dance.
725,"Yay Duck Dynasty marathon with _TWITTER-ENTITY_ and some macaroni and cheese !
",1,1,Finna watch Duck Dynasty marathon with _TWITTER-ENTITY_ with some mac n cheese on deck!,"Finna watch this Duck Dynasty marathon with _TWITTER-ENTITY_, eating some mac n cheese!",Finna watch Duck Dynasty marathon with _TWITTER-ENTITY_ and some mac n cheese!,Ayy Duck Dynasty marathon with _TWITTER-ENTITY_ and some mac n cheese!,"Ayy, Duck Dynasty marathon with _TWITTER-ENTITY_ and some mac n' cheese!"
726,"\ _TWITTER-ENTITY_ : _TWITTER-ENTITY_ screwwww boys ! I got my gurlfrendssss "" realest tweet I've ever read .. ""
",1,1,"\_TWITTER-ENTITY_ : Forget men! I got my homegirls. ""That's truth on this tweet like no other.""","\ _TWITTER-ENTITY_ : ""_TWITTER-ENTITY_ forget dudes! I got my girl friends"" realest tweet I ever read.. """,\ _TWITTER-ENTITY_ : _TWITTER-ENTITY_ forget these dudes! I got my ladies. That's the realest tweet I've ever read.,"\_TWITTER-ENTITY_ : _TWITTER-ENTITY_ Forget fellas! I got my shawty ""Realest tweet I ever peeped ..""","\ _TWITTER-ENTITY_ : _TWITTER-ENTITY_ forget these boys! I got my homegirls "" realest thing I've ever seen on here.."""
727,"Rock bottom .
",0,1,Hit rock bottom.,Hit rock bottom.,Hit rock bottom.,Hit rock bottom.,Hit rock bottom.
728,"So fucking sick all I want to do is sleep . I hate the damn flu .
",0,1,So damn sick all I wanna do is catch some z's. Can't stand this damn flu.,"So damn sick, all a brotha wanna do is sleep. I hate this damn flu.","Feelin' mad sick, all I wanna do is catch some z's. Can't stand this damn flu.",So damn sick all I wanna do is sleep. I can't stand this damn flu.,So damn sick all I wanna do is sleep. I hate dis damn flu.
729,"_TWITTER-ENTITY_ I'm going to Blake we need a picture lovaaa .. I miss you
",1,1,"_TWITTER-ENTITY_ Imma need a pic from ya Blake, boo. I be missin' you.",_TWITTER-ENTITY_ I'm 'bout to say Blake we need a pic boo... I miss ya,"_TWITTER-ENTITY_ I'm finna say Blake, we need a pic boo... I miss you","_TWITTER-ENTITY_ I'm bout to hit up Blake, we need a picture boo.. I miss you",_TWITTER-ENTITY_ I'm finna say Blake we need a pic boo... I miss you
730,"One of those cotton ball things that fly through the air just landed on my Popsicle
",0,1,One of them fluffy cotton ball things just done landed on my popsicle.,One of them cotton ball things that be floatin' in the air just landed on my Popsicle.,One of them cotton ball things that be flyin' through the air just landed on my Popsicle.,One of them cotton ball things that be flyin' in the air just landed on my Popsicle.,One of them cotton ball things that be flying through the air just landed on my popsicle.
731,"Had cheezits in my hand , got pissed off so naturally , I threw them in the trash with rage to express my anger . I am so not intimidating ..
",1,1,"Had cheezits in my hand, got heated so naturally, I chucked them in the trash with fury to show my anger. I ain't even tough like that...","Had some cheezits in my grip, got mad so naturally, I chucked them in the trash with fury to show my anger. I'm so far from scary..","Had cheezits in my grip, got vexed up so you know, I tossed them in the trash with all my anger. I ain't scary at all..","Had cheezits in my hand, got mad as hell so naturally, I chucked 'em in the trash with fury to show my anger. I ain't even a bit scary...","Had some cheezits in my grip, got hella mad so you already know, chucked them in the trash all mad and shit. I'm straight up not scary at all.."
732,"_TWITTER-ENTITY_ Omg I'm just gonna have a argument over a social media website and continue to tweet about the person . I'm SO mature .
",1,1,Omg I'm finna have a argument on a social media website and keep tweetin' 'bout the person. I'm SO grown.,Omg I'm just finna have a beef on a social media website and keep on tweetin' 'bout the person. I'm SO mature.,"_TWITTER-ENTITY_ Lawd, I'm just finna have a argument over a social media website and keep tweetin' bout this person. I'm SO grown.",Omg I'm finna have a argument over a social media website and keep tweetin' bout the person. I'm SO grown.,"Ayy, I'm bout to go in on an argument on this social media site and keep tweetin' bout the person. I'm mad grown, y'all."
733,"I didn't watch walking dead yet . Must resist twitter feed
",1,1,I ain't watched Walking Dead yet. Gotta steer clear from Twitter.,Ain't watched Walking Dead yet. Gotta dodge them Twitter feeds.,Ain't watched Walking Dead yet. Gotta resist checkin' dem Twitter feeds.,Ain't watched Walking Dead yet. Gotta dodge them Twitter feeds.,Ain't watched Walking Dead yet. Gotta resist scrollin' through Twitter.
734,"Not sleeping tonight
",0,1,Ain't catchin' no sleep tonight,Ain't catchin' no Z's tonight.,Ain't catchin' no sleep tonight.,Ain't catchin' no sleep tonight.,Ain't catchin' no Z's tonight.
735,"I had so many dreams last night over all the things iv been stressing over . Not even sleep can let me escape
",0,1,Had a whole lotta dreams last night 'bout all the stuff I been stressin' over. Can't even catch a break in my sleep.,Had a whole lotta dreams last night 'bout all the stuff I been stressin' over. Can't even catch a break in my sleep.,Had a whole lot of dreams last night 'bout all the stuff I been stressin' over. Can't even escape in my sleep.,Had a heap of dreams last night 'bout all da stuff I been stressin' over. Can't even escape in my sleep.,Had hella dreams last night 'bout all da things I been stressin' over. Can't even catch a break in my sleep.
736,"Up early ! So that means McDonalds for breakfast ! #fatkid
",1,1,Up early! So that means Mickey D's for breakfast! #bigkid,Up early! So that mean McDonalds for breakfast! #bigkid,Up early! So that means Mickey D's for breakfast! #fatkid,Up early! So that means Mickey D's for breakfast! #bigbonedkid,Up early! So that mean McDonald's for breakfast! #bigkid
737,"\When you post a picture do you have to put the pound sign ? "" LMAO Oh mother ! ""
",1,1,"""When you upload a pic, you gotta put that hashtag or nah? "" LOL Momma don't know! ""","""When you post a pic, you gotta put the hash sign? LMAO Momma you wild!""","""When you post a pic, you gotta use that hash sign? LOL Yo, momma!""","""When you post a picture you gotta use that hashtag or nah? LOL Moms, man!""
","""When you post a picture, you gotta use that hashtag or somethin'? LMAO! Oh, moms!""
"
738,"Best day ever with my bby
",1,1,Dopest day ever with my boo.,Best day ever with my boo,Best day ever wit ma boo,"Best day eva with my boo
",Best day ever wit my boo
739,"_TWITTER-ENTITY_ yes .
",1,1,_TWITTER-ENTITY_ yeah.,_TWITTER-ENTITY_ yeah.,_TWITTER-ENTITY_ yeah.,_TWITTER-ENTITY_ yeah.,"Yes, _TWITTER-ENTITY_."
740,"Life is a water fall we drink from the river than turn around and put up a wall
",1,1,"Life be a waterfall, we sip from the river then flip 'round and throw up a wall.","Life be a waterfall, we sip from the river then flip around and stack up a wall.","Life be a waterfall, we sip from the river then flip 'round and stack up a wall.","Life is a waterfall, we sip from the river then turn around and put up a wall.",Life be a waterfall. We sip from the river then flip 'round and put up a wall.
741,"Aww my mommie said she don't feel good I wanna go love all over her
",0,0,"Aw, my mother said she doesn't feel well. I want to go show her my love and affection.","Oh, my mother mentioned she isn't feeling well. I wish to go and look after her.","Oh no, my mother said she isn't feeling well. I want to go and shower her with affection.","Aw, my mother said she isn't feeling well. I want to go and shower her with love and affection.","Aw, my mom said she doesn't feel well. I want to go and show her lots of love and care."
742,"Awe Taylor has a big booty .
",1,1,Taylor got a big backside.,"Taylor got a big booty, fo' real.","Damn, Taylor got a thick booty.",Taylor got a phat booty.,Taylor got a thicc backside.
743,"I have no one to shave for either madi
",1,1,"Ain't got nobody to shave for either, Madi.","Ain't got nobody to shave for either, Madi.","Ain't got nobody to shave for, either Madi.","Ain't got nobody to shave for either, Madi.",Ain't got nobody to shave for either Madi
744,"Aw I'm going to miss Johnathan this next couple of days
",0,1,"Aw, I'm gon' miss Johnathan these next couple days.","Aw, I'm gon' miss Johnathan these next few days.","Aw, I'm gon' miss Johnathan these next couple days.","Dang, I'm 'bout to miss Johnathan these next couple days.","Aw, I'm gon' miss Johnathan these next few days."
745,"_TWITTER-ENTITY_ oh gosh , either way #GodMadeAFarmer
",1,1,"_TWITTER-ENTITY_ oh lawd, either way #GodMadeAFarmer","_TWITTER-ENTITY_ oh lawd, either way #GodMadeAFarmer","_TWITTER-ENTITY_ oh lawd, either way #GodMadeAFarmer","_TWITTER-ENTITY_ oh lawd, either way #GodMadeAFarmer","_TWITTER-ENTITY_ oh lawd, either way #GodMadeAFarmer"
746,"_TWITTER-ENTITY_ yeah same here and I somehow always end up in sweats , whatever more comfy
",1,1,"_TWITTER-ENTITY_ yeah same here and I somehow always end up in sweats, whatever more comfy translates to ""_TWITTER-ENTITY_ yeah same here and I always find myself in sweats, whatever's more chill tho.","_TWITTER-ENTITY_ right, same here and I always find myself in sweats, ya know. Comfort over everything, ya feel me?","_TWITTER-ENTITY_ yeah same here and I always find myself in sweats, whatever more comfortable.","_TWITTER-ENTITY_ yeah same here and I always seem to end up in sweats, it's just more comfortable ya know","_TWITTER-ENTITY_ yeah same here an' I somehow always end up in sweats, whateva more comfy"
747,"_TWITTER-ENTITY_ I ammmmmm Literally LOLing . My sister and I get together and watch it every Sunday .
",1,1,_TWITTER-ENTITY_ I'm dead laughin' right now. Me and my sis link up and watch it every Sunday.,_TWITTER-ENTITY_ I'm deadddd laughin'. Me and my sis link up and watch this every Sunday.,_TWITTER-ENTITY_ I'm straight up laughin' out loud right now. Me and my sis meet up and watch it every Sunday.,_TWITTER-ENTITY_ I ammmmmm dead laughin'. Me and my sis link up and watch it every Sunday.,_TWITTER-ENTITY_ I'm legit crackin' up. Me and my sis link up and watch it every Sunday.
748,"Can me and savannah be blocked too
",1,1,Can me and Savannah get blocked too,Can me and Savannah get blocked too,Can me and Savannah get blocked too,Can me and Savannah get blocked too?,"Can me and Savannah get blocked too, yo?"
749,"_TWITTER-ENTITY_ aye they could try to be kid napping you I don't want anything happening to youâºï¸
",1,1,"Aye, they might be tryna kidnap you. I don't want nothin' to happen to you, ya feel me?","Ay, they might be tryna kidnap you. Don't want nothin' bad happenin' to you 🙏🏾","Ayo _TWITTER-ENTITY_, they might be tryna kidnap you. I ain't want nothin' bad happenin' to you feel me?","Ayo _TWITTER-ENTITY_, they might be tryna kidnap you, I don't want nothin' bad happenin' to you.",_TWITTER-ENTITY_ ayy they might be tryna kidnap you. I don't want nothin' happenin' to you.
750,"_TWITTER-ENTITY_ prob victor although he's worked really hard
",0,1,_TWITTER-ENTITY_ prolly Victor even tho he been grindin' hard,"_TWITTER-ENTITY_ might win this, even tho he been grindin' hard","_TWITTER-ENTITY_ might win tho, he been puttin' in mad work.",_TWITTER-ENTITY_ prolly Victor even though he been grindin' real hard.,_TWITTER-ENTITY_ prolly victor even though he been grindin' hard
751,"I'm sad , me & _TWITTER-ENTITY_ used to be so close but we've been drifting lately #comebacktome
",1,1,"I'm down, me & _TWITTER-ENTITY_ used to be tight but we been pullin' apart lately #comebacktome","I'm down, me & _TWITTER-ENTITY_ used to be tight but we've been movin' apart lately #comebacktome","I'm down, me & _TWITTER-ENTITY_ used to be tight but we steady driftin' lately #comebacktome","I'm down, me & _TWITTER-ENTITY_ used to be tight but we've been driftin' lately #comebacktome","I'm feelin' down, me & _TWITTER-ENTITY_ used to be tight but we've been driftin' apart lately #comebacktome"
752,"Two hardest things in life : Letting go when all you really want is to stay and trying to make someone stay when they really want to leave .
",0,1,Two toughest things in life : Lettin' go when all you really want is to stay and tryna make someone stay when they really wanna bounce.,"Two hardest things in this life: Lettin' go when you really wanna stay, and tryna make somebody stay when they really tryna dip.",Two hardest things in life: Letting go when you really wanna stay and tryna make someone stay when they really wanna leave.,Two hardest things in life : Letting go when you truly wanna stay and trying to make someone stay when they for real wanna dip.,"Two hardest things in life: Lettin' go when all you really wanna do is stay, and tryna get someone to stay when they really wanna bounce."
753,"_TWITTER-ENTITY_ Good evening my dearest and loving little brother Engel I'm relaxing now after a delicious dinner and I'm watching tV now
",1,1,_TWITTER-ENTITY_ Good evenin' my dearest and lovin' lil' bro Engel. I'm chillin' now after a bomb dinner and I'm watchin' TV now.,"_TWITTER-ENTITY_ Good evenin' my dear and lovin' lil bro Engel, I'm chillin' now after a bomb dinner an' I'm watchin' the tube now.",_TWITTER-ENTITY_ Good evenin' my dear and lovin' lil bro Engel. I'm chillin' now after a bomb dinner and I'm watchin' TV now.,_TWITTER-ENTITY_ Good evenin' my dearest and lovin' lil bro Engel. I'm chillin' now after a bomb dinner and I'm watchin' TV now.,Good evenin' my beloved little bro Engel. Just chillin' after a bomb dinner right now an'caught up with some TV.
754,"Don't judge a book by its cover or and other words a person .
",0,1,"Don't be judgin' a book by its cover or in other words, a person.","Don't be judgin' a book by its cover, or in other words, a person.","Don't judge a book by its cover, or in other words, a person. 
Translated: Don't be judgin' a book by its cover, or in other words, a person.","Don't be judgin' a book by its cover or in other words, a person.","Don't be judgin' a book by its cover, or in other words, a person."
755,"reunion . nev you're just too attractive . â¤
",1,1,"reunion. Nev, you just too fine. ❤️","Reunion. Nev, you just too fine. ♥","reunion. Nev, you just too fine.❤️","Reunion. Nev, you just too fine. ❤️","Reunion. Nev, you just too fine. ❤️"
756,"Wrong Anna , Anna ! LOLZ _TWITTER-ENTITY_ #dentist
",1,1,"Wrong Anna, Anna! LOLZ, for real! #dentist","Wrong Anna, Anna! LOLZ _TWITTER-ENTITY_ #dentist","Wrong Anna, Anna! LMAO _TWITTER-ENTITY_ #dentist","Wrong Anna, Anna! LOLZ _TWITTER-ENTITY_ #dentist","Wrong Anna, Anna! LMFAO _TWITTER-ENTITY_ #dentist"
757,"_TWITTER-ENTITY_ oh well I tried !
",1,1,"_TWITTER-ENTITY_ Welp, I gave it a shot!","_TWITTER-ENTITY_ well, I gave it my shot!","_TWITTER-ENTITY_ well, I gave it my shot!","_TWITTER-ENTITY_ oh well, I gave it a shot!","_TWITTER-ENTITY_ well, I gave it a shot!"
758,"I need out . Of this whole country .
",0,1,I gotta get up outta this whole country.,I gotta get up outta this whole country.,I gotta dip. Out this whole country.,I gotta get outta this whole country.,I gotta bounce. Outta this whole country.
759,"_TWITTER-ENTITY_ anytime doll !
",1,1,_TWITTER-ENTITY_ anytyme baby!,_TWITTER-ENTITY_ anytime boo!,_TWITTER-ENTITY_ anytime babygirl!,"Anytime, baby!","Anytime, boo!"
760,"Prayers for Jerimicheal Finley Hope you get well soon .. We miss you man . #GreenBayPackers
",0,1,Prayers up for Jerimicheal Finley. Lookin' forward to you gettin' better soon.. We missin' you man. #GreenBayPackers,Prayin' for Jerimicheal Finley. Hope you bounce back soon.. We miss ya bruh. #GreenBayPackers,Prayers up for Jerimicheal Finley. Hope you bounce back soon.. We missin you man. #GreenBayPackers,Prayin' for Jerimicheal Finley. Hope you get right soon... We missin' you bruh. #GreenBayPackers,Prayin' for Jerimicheal Finley. Hope you bounce back quick fam... We missin' you out here. #GreenBayPackers
761,"The fact that rebel Wilson is on Ellen today
",1,1,"Rebel Wilson on Ellen show today, ya heard?","Rebel Wilson gon' be on Ellen today, na'mean?","Rebel Wilson on Ellen today, y'all.","Rebel Wilson on Ellen's show today, y'all.","Rebel Wilson gon' be on Ellen today, y'all."
762,"_TWITTER-ENTITY_ Thank you , Hannaaah !
",1,1,"_TWITTER-ENTITY_ Thank ya, Hannaaah!","_TWITTER-ENTITY_ Thank ya, Hannaaah!","_TWITTER-ENTITY_ Thank ya, Hannaaah!","_TWITTER-ENTITY_ Thank ya, Hannaaah!","_TWITTER-ENTITY_ Thank ya, Hannaaah!"
763,"I don't even like you ? kiss my assâï¸
",1,1,"I ain't even feelin' you. Kiss my behind, peace out!","I ain't even feelin' you, kiss my behind, peace out.","I ain't even feelin' you, kiss my behind, peace out!","I ain't even feelin' you. Kiss my behind, ya heard?✌🏾","I ain't even feelin' you, kiss my behind. Peace out."
764,"_TWITTER-ENTITY_ wish I could smoke one more month
",0,1,_TWITTER-ENTITY_ wish I could blaze up one more month,_TWITTER-ENTITY_ wish I could light up one mo' month.,_TWITTER-ENTITY_ wish I could puff one mo' month.,_TWITTER-ENTITY_ wish I could light one up for one more month,_TWITTER-ENTITY_ wish I could light up one more month.
765,"ahhahahahahahaha ismet is so dumb
",1,1,"Ahahahaha Ismet so dumb, fo real.","Ahahahahaha Ismet so dumb, for real though.","Ahahahahahaha Ismet too stupid, yo.",Ahahahahaha Ismet so stupid.,"Ahahahahahaha, Ismet so slow."
766,"Nba 2K13 right naw <<<<
",0,1,"Currently, NBA 2K13 is not meeting my expectations.","Currently, NBA 2k13 just ain't cutting it.",Nba 2K13 right now is disappointing.,Playing NBA 2K13 at this moment ain't that great.,Playing NBA 2K13 right now isn't the best.
767,"_TWITTER-ENTITY_ you da best Laney bug
",1,1,_TWITTER-ENTITY_ you da best Laney bug,_TWITTER-ENTITY_ you the best Laney bug,"_TWITTER-ENTITY_ you the best, Laney bug",_TWITTER-ENTITY_ you da best Laney bug,_TWITTER-ENTITY_ you da best Laney bug
768,"Thanks _TWITTER-ENTITY_ for a wonderful evening ! Had so much fun â¤ love you lots !
",1,1,Thanks _TWITTER-ENTITY_ for a bomb evening! Had mad fun 💕 love you lots!,Thanks _TWITTER-ENTITY_ for a bomb evening! Had mad fun ❤️ love you to pieces!,Thanks _TWITTER-ENTITY_ for a bomb evening! Had hella fun ❤ love you loads!,Thanks _TWITTER-ENTITY_ for a dope night! Had mad fun 💕 love you tons!,Thanks _TWITTER-ENTITY_ for a bomb evening! Had mad fun ❤️ love you loads!
769,"today is one of those days when I just want to curl up on the couch â
",0,1,Today one of dem days when I just wanna chill on the couch.,Today one of them days where I just wanna chill on the sofa.,Today one of them days where I just wanna kick back on the couch.,Today one of them days when I just wanna chill on the couch.,Today one of them days when I just wanna chill on the couch.
770,"_TWITTER-ENTITY_ _TWITTER-ENTITY_ son I'm about to pop the fuck off . she bragging about her boy , he ain't even cute
",0,0,"_TWITTER-ENTITY_ _TWITTER-ENTITY_'s son, I'm about to lose my temper. She's showing off her boyfriend, and he isn't even attractive.","_TWITTER-ENTITY_ _TWITTER-ENTITY_'s son, I'm about to get really upset. She's bragging about her boyfriend, but he's not even attractive.","_TWITTER-ENTITY_ _TWITTER-ENTITY_'s son, I'm about to lose my patience. She's boasting about her boyfriend; he's not even attractive.","_TWITTER-ENTITY_ _TWITTER-ENTITY_ my son, I'm about to get really annoyed. She's boasting about her boyfriend, he's not even attractive.","_TWITTER-ENTITY_ _TWITTER-ENTITY_ son, I'm about to lose it. She's boasting about her boyfriend, and he isn't even attractive."
771,"I have one week to enjoy break and then I get my tonsils out and basically die so yay
",1,1,"I got one week to turn up, then I gotta get my tonsils out and basically be laid out, so yay.","I got one week to kick it and chill, then I gotta get my tonsils out and pretty much catch the fade, so woohoo.","I got one week to chill, then I gotta get my tonsils out and basically be laid out, so yay.","I got one week to kick back, then I'm gettin' my tonsils out and pretty much finna be laid out, so big ups.","Got one week to chill then I'm getting my tonsils out, pretty much gonna be dead, ain't that some joy."
772,"Dinner with _TWITTER-ENTITY_ after my game I just had
",1,1,Finna have dinner with _TWITTER-ENTITY_ after my game I just had.,Dinner with _TWITTER-ENTITY_ after my game I just played,Finna eat with _TWITTER-ENTITY_ after my game I just had.,Dinner with _TWITTER-ENTITY_ after my game I just played.,Finna have dinner with _TWITTER-ENTITY_ after my game that just went down.
773,"I've been very pleased lately
",1,1,I been real satisfied lately.,I been real satisfied lately.,I've been feelin' real good lately.,I been real satisfied lately.,I been feelin' real good lately.
774,"_TWITTER-ENTITY_ hey you made fun of me for that !
",0,1,"_TWITTER-ENTITY_ aye, you was clownin' me for that!","_TWITTER-ENTITY_ ayy, you was clownin' me for that!","_TWITTER-ENTITY_ ayo, you was clownin' me for that!","_TWITTER-ENTITY_ ayy, you was clownin' me for that!","_TWITTER-ENTITY_ ayy, you was clownin' me for that!"
775,"Tomorrow better work out ...
",0,1,Tomorrow betta come thru...,Tomorrow betta come thru...,Tomorrah betta work out...,Better work out tomorrow...,Better work out tomorrow...
776,"Why the fuck am I still awake My sleep schedule is so messed up
",0,1,Why the hell I'm still up? My sleep pattern all kinds of messed up.,Why the hell I be still awake? My sleep schedule all kinds of messed up.,Why the hell I'm still up? My sleep schedule all types of messed up.,Why the hell I'm still up? My sleep routine all sorts of messed up.,Why the hell I still up? My sleep schedule all kinda messed up.
777,"Someone take care of me tonight
",0,1,Somebody look out for me tonight.,Someone look out for me tonight.,Someone look out for me tonight,Someone look out for me tonight.,Someone look out for me tonight.
778,"_TWITTER-ENTITY_ oh crystalllll
",1,1,_TWITTER-ENTITY_ oh crystalllll,_TWITTER-ENTITY_ oh crystalllll,"_TWITTER-ENTITY_ oh crystal, gurl","Oh Crystalllll, _TWITTER-ENTITY_","_TWITTER-ENTITY_ oh crystal, girl"
779,"_TWITTER-ENTITY_ thanks emilie
",1,1,_TWITTER-ENTITY_ appreciate it Emilie,_TWITTER-ENTITY_ thanks Emilie,_TWITTER-ENTITY_ thanks Emilie,_TWITTER-ENTITY_ appreciate ya Emilie.,"_TWITTER-ENTITY_ appreciate ya, Emilie."
780,"_TWITTER-ENTITY_ _TWITTER-ENTITY_ OMG
",1,1,_ASSISTANT_ _ASSISTANT_ OMG,"_TWITTER-ENTITY_ _TWITTER-ENTITY_ Bruh, for real",_TWITTER-ENTITY_ _TWITTER-ENTITY_ Lawd!,_TWITTER-ENTITY_ _TWITTER-ENTITY_ Oh lawd!,_TWITTER-ENTITY_ _TWITTER-ENTITY_ Lawd have mercy!
781,"Its funny how u think u know who i wanna be with and then God goes nope he's not the one i have for u i someone much better for u !!
",1,1,"It's funny how you think you know who I wanna be with and then God be like nah, he ain't the one I got for you, I got someone much better for you!!","It's wild how ya think ya know who ya wanna be with then God be like nah that ain't the one I got fo' ya, I got someone way betta for ya!!","It's hilarious how ya think ya know who I wanna be with, then God be like nah, he ain't the one I got for ya, I got someone way better in store for ya!","It's funny how ya assume ya know who I wanna be wit, an' then God be like nah, he ain't the one I got for ya, I got someone way better for ya!!","It's funny how ya think ya know who I wann' be with and then God goes nah, he ain't the one I got for ya, I got someone much better for ya!!"
782,"I'm borderline obsessed with Jesse from pitch perfect and hard he tries to get beca in the movie
",1,1,I'm lowkey fixated on Jesse from Pitch Perfect and how hard he be tryna win over Beca in the movie.,I'm lowkey obsessed with Jesse from Pitch Perfect and how he be puttin' in work to get Beca in the movie.,I'm lowkey obsessed with Jesse from Pitch Perfect and how hard he be grindin' to get Beca in the movie.,I'm lowkey obsessin' over Jesse from Pitch Perfect and how hard he be tryna bag Beca in the movie.,I'm near 'bout obsessed with Jesse from Pitch Perfect and how hard he be tryna get with Beca in the movie.
783,"_TWITTER-ENTITY_ nice seeeing you girl ! Enjoy 21
",1,1,_TWITTER-ENTITY_ good seein' you girl! Live it up in 21,_TWITTER-ENTITY_ good seein' you girl! Enjoy 21,_TWITTER-ENTITY_ good seein' ya girl! Enjoy 21,_TWITTER-ENTITY_ good seein' ya girl! Enjoy 21,_TWITTER-ENTITY_ Nice seein' you girl! Enjoy yo' 21
784,"Trying to fall back asleep
",0,1,Tryna catch some more Z's.,Tryna catch some more Z's.,Tryna catch some more sleep,Tryna catch some more Z's.,Tryna catch some more Z's.
